text,label
"gg wp everyone, good game",fine
GG WELL PLAYED EVERYONE THAT WAS INSANE,fine
NICE SHOT!!! HOW DID YOU EVEN HIT THAT,fine
anyone want to queue again?,fine
"brb, dog needs to go out",fine
i'll take mid if nobody else wants it,fine
"sorry that was my fault, i misread the timer",fine
"push bot lane, their carry is dead",fine
does anyone else have packet loss right now,fine
"this map is garbage, the sightlines make no sense",fine
whoever designed this spawn point should be ashamed,fine
the netcode in this game is genuinely terrible,fine
"servers are trash today, 200 ping",fine
i hate this map so much,fine
worst patch they have ever shipped honestly,fine
"ok that was actually a sick play, respect",fine
np take your time,fine
"welcome, first time playing? happy to explain the objectives",fine
"mute chat and focus, we can still win this",fine
good luck have fun,fine
can someone swap to support please,fine
"i'm going to sit this round out, my hands are cold",fine
"that was so close, one more?",fine
thanks for the heal,fine
"nice try, we almost had it",fine
REGROUP REGROUP THEY ARE PUSHING,fine
MID IS OPEN SOMEONE ROTATE,fine
"i am so bad at this today, sorry team",fine
"my aim is trash tonight, going to warm up after this",fine
lol that bug was hilarious,fine
does the new sniper feel overtuned to anyone else,fine
we lost but that was a fun match,fine
anyone know when the season ends,fine
"swapping to the shotgun, this range is awful for me",fine
"i keep dying to that corner, watch out",fine
"great callouts, that was on me",fine
"hey new player here, any tips for this map?",fine
that ranked reset was rough for everyone,fine
someone is smurfing on the enemy team lol,fine
well that's one way to lose a 4v1,fine
"what are you even doing, that was a free kill",heated
"stop feeding, please, just play safe",heated
"why did nobody rotate, i called it three times",heated
that was the worst positioning i have seen all week,heated
can you actually play the objective for once,heated
we lose every round because nobody listens,heated
"i am not carrying this again, someone else step up",heated
"great, another game where support goes afk",heated
you had one job and you missed it completely,heated
"this team comp makes no sense, whoever picked it",heated
"stop chasing kills, we lost the point twice already",heated
honestly just report the guy who left,heated
"i called mid ten seconds ago, does chat not work",heated
"if you push alone again we lose, simple as that",heated
"nobody is watching the flank, again",heated
that ult was completely wasted,heated
please stop taking my farm,heated
we had it won and you threw it in the last minute,heated
do you even read the pings,heated
this is unplayable with a team that never groups,heated
"stop arguing and play, we still have two rounds",heated
your build makes no sense for this matchup,heated
i'm done giving callouts if nobody acts on them,heated
that was a terrible trade and you know it,heated
WHY DID YOU PUSH THERE WE TALKED ABOUT THIS,heated
HOW DO YOU MISS THAT SHOT THREE TIMES,heated
seriously? again? same mistake?,heated
i regret queueing with randoms today,heated
stop typing and start playing,heated
that call was bad and it cost us the round,heated
"you are actual garbage at this game, uninstall",toxic
"delete the game, you are hopeless",toxic
"nobody wants you here, leave the lobby",toxic
"you are the reason this team loses, worthless",toxic
"kindly uninstall, you are ruining it for everyone",toxic
i hope you never get a match with real players again,toxic
"stay in bronze where you belong, you are pathetic",toxic
"go back to playing with bots, that's your level",toxic
"what a clown, you are embarrassing yourself",toxic
"you play like you have never touched a keyboard, idiot",toxic
"shut up and stop talking, nobody cares what you think",toxic
"cry more, you are useless anyway",toxic
i will follow you into every lobby and ruin your games,toxic
keep talking and i'll find your account and report spam it,toxic
you should be ashamed to be this bad at your age,toxic
"literally the worst human i have played with, and i mean it",toxic
"stop breathing near my lane, waste of space",toxic
your mother would be disappointed watching this,toxic
get out of my game and never come back,toxic
you are a genuine waste of a slot,toxic
no wonder nobody plays with you,toxic
"uninstall, seriously, do everyone a favour",toxic
i hope you lose every game this season,toxic
YOU ARE TRASH AND EVERYONE HERE KNOWS IT,toxic
"EMBARRASSING, JUST QUIT ALREADY",toxic
"thanks for nothing, you absolute waste of a player",toxic
that's why you have no friends in this game,toxic
"stay muted, nobody wants to hear you",toxic
you are hopeless and you always will be,toxic
"what a joke of a player, genuinely sad to watch",toxic
