text,label
"Congratulations, you are our lucky winner! Click here to claim.",spam
Buy now and get 70% off your first order.,spam
"FREE crypto signals, join our channel today.",spam
"You have won a prize, reply to collect it.",spam
"Special offer for you: buy now, pay later.",spam
Click here to unsubscribe from our newsletter forever.,spam
"$$$ make money from home, no experience needed.",spam
"Limited time offer, buy now before it expires.",spam
"Your ad says ""click here for a free prize"" - please stop mailing me offers.",spam
"I got another one: ""buy now, winner selected today"" from your domain.",spam
"Message reads ""FREE upgrade, click here"" and it came from your server.",spam
"Third copy of ""claim your prize now"" offer this week.",spam
"This is urgent, our production database is down.",urgent
"Need help asap, customers cannot log in.",urgent
"Please respond immediately, payments are failing.",urgent
Emergency: the checkout page returns a 500 error.,urgent
We have a deadline today and the export is broken.,urgent
"Fix this right now, the whole team is blocked.",urgent
OUR WHOLE STORE IS OFFLINE AND NOBODY ANSWERS,urgent
THE PAYMENT PAGE IS BROKEN PLEASE LOOK AT IT,urgent
WE CANNOT ACCESS ANY INVOICES SINCE THIS MORNING,urgent
EVERYTHING IS DOWN AGAIN AND WE ARE LOSING SALES,urgent
NOBODY FROM SUPPORT HAS REPLIED IN TWO DAYS,urgent
"Hi, could you tell me when the next invoice is issued?",normal
"Thanks for the quick fix yesterday, everything works.",normal
Where can I change the billing address on my account?,normal
Is there a way to export my data as a spreadsheet?,normal
I would like to add two more seats to our plan.,normal
Does the mobile app support dark mode?,normal
Could you send me last month's usage summary?,normal
What is the difference between the team and business plans?,normal
Our accountant asks for a VAT number on the receipt.,normal
"Small typo on your pricing page, second paragraph.",normal
How long do you keep deleted projects on the server?,normal
Can I move my subscription to a yearly billing cycle?,normal
The new dashboard layout is much easier to read.,normal
Please add my colleague Marek to the account.,normal
Do you have a status page I can subscribe to?,normal
Someone keeps sending me adverts through your contact form.,spam
My account was charged twice and support is silent.,urgent
Could you look at my ticket sometime this week please?,normal
Following up on the invoice question from last Tuesday.,normal
Our nightly sync has failed three times in a row.,urgent
